Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Ticket
0,3,0,0.275,1,0,7.25,2,2,15.0
1,1,1,0.475,1,0,71.2833,2,0,817599.0
1,3,1,0.325,0,0,7.925,2,2,152.0
1,1,1,0.4375,1,0,53.1,2,2,113803.0
0,3,0,0.4375,0,0,8.05,2,2,373450.0
0,3,0,0.0,0,0,15.75,2,1,8.0
0,1,0,0.675,0,0,51.8625,4,2,17463.0
0,3,0,0.025,3,1,21.075,2,2,349909.0
1,3,1,0.3375,0,2,11.1333,2,2,347742.0
1,2,1,0.175,1,0,30.0708,2,0,237736.0
1,3,1,0.05,1,1,16.7,6,2,99549.0
1,1,1,0.725,0,0,26.55,2,2,113783.0
0,3,0,0.25,0,0,8.05,2,2,15.0
0,3,0,0.4875,1,5,31.275,2,2,347082.0
0,3,1,0.175,0,0,7.8542,2,2,350406.0
1,2,1,0.6875,0,0,16.0,2,2,248706.0
0,3,0,0.025,4,1,29.125,2,1,382652.0
1,2,0,0.0,0,0,15.75,2,2,13.0
0,3,1,0.3875,1,0,18.0,2,2,345763.0
1,3,1,0.0,0,0,15.75,2,0,7.0
0,2,0,0.4375,0,0,26.0,2,2,239865.0
1,2,0,0.425,0,0,13.0,3,2,248698.0
1,3,1,0.1875,0,0,8.0292,2,1,330923.0
1,1,0,0.35,0,0,35.5,0,2,113788.0
0,3,1,0.1,3,1,21.075,2,2,349909.0
1,3,1,0.475,1,5,31.3875,2,2,347077.0
0,3,0,0.0,0,0,15.75,2,0,7.0
0,1,0,0.2375,3,2,263.0,2,2,19950.0
1,3,1,0.0,0,0,15.75,2,1,7.0
0,3,0,0.0,0,0,15.75,2,2,7.0
0,1,0,0.5,0,0,27.7208,2,0,817601.0
1,1,1,0.0125,0,0,15.75,2,0,146.0
1,3,1,0.0,0,0,15.75,2,1,7.0
0,2,0,0.825,0,0,10.5,2,2,324579.0
0,1,0,0.35,1,0,82.1708,2,0,817604.0
0,1,0,0.525,1,0,52.0,2,2,113789.0
1,3,0,0.0,0,0,15.75,2,0,7.0
0,3,0,0.2625,0,0,8.05,2,2,15.0
0,3,1,0.225,2,0,18.0,2,2,345764.0
1,3,1,0.175,1,0,11.2417,2,0,2651.0
0,3,1,0.5,1,0,9.475,2,2,7546.0
0,2,1,0.3375,1,0,21.0,2,2,11668.0
0,3,0,0.0,0,0,15.75,2,0,7.0
1,2,1,0.0375,1,2,41.5792,2,0,112123.0
1,3,1,0.2375,0,0,7.8792,2,1,330958.0
0,3,0,0.0,0,0,15.75,2,2,8.0
0,3,0,0.0125,0,0,15.75,2,1,15.0
1,3,1,0.0,0,0,15.75,2,1,7.0
0,3,0,0.025,0,0,15.75,2,0,21.0
